club_id,season,team_emb_0,team_emb_1,team_emb_2,team_emb_3,team_emb_4,team_emb_5,team_emb_6,team_emb_7,team_emb_8,team_emb_9,team_emb_10,team_emb_11,team_emb_12,team_emb_13,team_emb_14,team_emb_15
1,2012,-0.138921,2.3056505,-0.5789071,1.3967088,0.79240745,-0.6707549,-0.95436406,0.51193285,-1.5956384,0.7176021,-1.474491,3.6858404,1.9461871,-0.6998255,-0.29078743,1.5441356
1,2013,-1.3491406,1.363533,-0.884287,-0.25489503,1.9654922,0.64071745,0.65534306,0.49852738,-1.188368,0.87668896,-0.74843603,-0.28631398,0.54788816,-0.28212088,-1.0333786,-0.63714385
1,2017,-0.93488455,1.2028987,-1.364539,0.63821524,1.9917326,-0.42544097,-0.32561466,-0.031583183,-1.4971898,-0.233306,0.026968732,0.70861393,0.44779646,-0.41794512,-0.8993801,-0.06704335
1,2019,-2.1829934,1.192829,-1.4463406,0.3228305,2.3783083,0.05846676,-0.56096923,-0.011436343,-1.6864048,1.2783661,-1.639929,0.21352878,0.50447685,1.1083621,-1.3197597,-0.4526696
1,2023,-0.9075464,0.7775432,-0.75516874,-0.07259444,1.6771784,0.6672711,0.9548969,-0.43536216,-1.0068197,0.6009458,-1.1076328,-0.2662454,0.698171,-0.1327894,-0.7768944,-0.7130168
1,2024,-1.7586015,0.6526445,-1.7335268,0.89122546,2.372086,-0.6514322,0.7267787,0.14637303,-2.1245513,1.511364,-1.974696,0.9892094,0.34230018,-0.4211975,-0.15430912,1.2869045
2,2012,-0.7833992,2.335834,-0.7126479,1.1439344,0.7525694,0.6983185,-0.93343365,0.34246382,-1.3345035,0.5945611,-1.575531,2.1702204,1.6017112,0.6561135,-0.47046337,0.7072691
2,2013,-1.8875043,1.3271949,-1.1337388,-0.148356,2.04272,0.9129991,0.58219135,0.42781034,-1.4351957,1.0693328,-1.0266023,-0.8141458,0.47662115,0.4131841,-1.1013476,-0.60840094
2,2014,-1.6213375,1.3275172,-1.0441406,-0.18058363,2.047789,0.6315473,0.6023582,0.52195793,-1.3600993,1.0080119,-0.9416553,-0.3719776,0.49357867,-0.056988906,-0.99821603,-0.49847075
2,2015,-1.6128922,1.2297889,-1.3961289,1.4147874,1.7731812,0.22633553,0.020484705,-0.83485866,-1.4908375,0.6745001,-0.59526527,0.7203266,0.18745229,0.14697301,-0.45370606,-0.8029948
2,2016,-1.7760829,1.1605275,-1.6325847,0.3935012,2.1873875,-0.25393045,0.5508609,0.84940475,-1.9121898,1.117057,-0.94131327,0.39378625,0.30397272,-0.5778639,-0.57620573,0.7654517
2,2017,-1.8618277,1.4971044,-1.2681772,-0.22437684,2.2109425,0.5287504,0.24467811,0.9041243,-1.5972899,0.79753256,-0.58990115,-0.5052074,0.4381917,0.06988996,-1.1925272,-0.3229078
