id,season,country_id,country_mean_phase,country_final_phase_wins,country_international_win_ratio
2012_19,2012,19.0,0.351219512195122,5,0.41025641025641024
2012_39,2012,39.0,0.4356807511737089,3,0.25
2012_40,2012,40.0,0.24364035087719296,6,0.5
2012_50,2012,50.0,0.1863095238095238,3,0.4074074074074074
2012_56,2012,56.0,0.42818627450980395,2,0.3448275862068966
2012_75,2012,75.0,0.3738827838827839,6,0.4625
2012_122,2012,122.0,0.3797222222222222,4,0.3111111111111111
2012_136,2012,136.0,0.16558441558441558,5,0.38181818181818183
2012_141,2012,141.0,0.43606666666666666,6,0.4909090909090909
2012_157,2012,157.0,0.38496181491464504,5,0.4675324675324675
2012_174,2012,174.0,0.4299145299145299,1,0.4358974358974359
2012_177,2012,177.0,0.37295597484276727,5,0.46808510638297873
2012_189,2012,189.0,0.31848595848595845,4,0.4230769230769231
2012_190,2012,190.0,0.571256038647343,3,0.3181818181818182
2013_19,2013,19.0,0.2634920634920635,5,0.375
2013_39,2013,39.0,0.3333333333333333,3,0.28
2013_40,2013,40.0,0.22981220657276996,4,0.47540983606557374
2013_50,2013,50.0,0.27318840579710146,1,0.4090909090909091
2013_56,2013,56.0,0.3658974358974359,3,0.3333333333333333
2013_75,2013,75.0,0.36892551892551895,5,0.4594594594594595
2013_122,2013,122.0,0.3578811369509044,2,0.3191489361702128
2013_136,2013,136.0,0.17357001972386588,4,0.32727272727272727
2013_141,2013,141.0,0.3991046831955923,7,0.45454545454545453
2013_157,2013,157.0,0.40134920634920634,9,0.6153846153846154
2013_174,2013,174.0,0.37311827956989246,3,0.41935483870967744
2013_177,2013,177.0,0.34115646258503396,7,0.48936170212765956
2013_189,2013,189.0,0.3231173864894795,6,0.5070422535211268
2013_190,2013,190.0,0.5047619047619047,2,0.3333333333333333
2014_19,2014,19.0,0.28654970760233917,4,0.4727272727272727
2014_39,2014,39.0,0.4384313725490196,1,0.21212121212121213
2014_40,2014,40.0,0.22280092592592593,5,0.5384615384615384
2014_50,2014,50.0,0.2234567901234568,2,0.3269230769230769
2014_56,2014,56.0,0.3054003724394786,5,0.3170731707317073
2014_75,2014,75.0,0.3724473975636766,6,0.47
2014_122,2014,122.0,0.36666666666666664,4,0.35714285714285715
2014_136,2014,136.0,0.12344961240310078,4,0.3333333333333333
2014_141,2014,141.0,0.44009186351706037,5,0.4528301886792453
2014_157,2014,157.0,0.411081852095677,8,0.6375
2014_174,2014,174.0,0.29824561403508776,2,0.3157894736842105
2014_177,2014,177.0,0.39284188034188033,3,0.3181818181818182
2014_189,2014,189.0,0.3246414228341939,5,0.4666666666666667
2014_190,2014,190.0,0.5197916666666667,1,0.3333333333333333
